date_hour,Tipo,total
2020-06-12 20,Original,513
2020-06-12 20,Cita,364
2020-06-12 20,Respuesta,204
2020-06-12 20,Retweet,2852
2020-06-12 21,Retweet,4198
2020-06-12 21,Original,369
2020-06-12 21,Cita,1016
2020-06-12 21,Respuesta,198
2020-06-12 22,Retweet,3606
2020-06-12 22,Respuesta,204
2020-06-12 22,Original,366
2020-06-12 22,Cita,491
2020-06-12 23,Original,342
2020-06-12 23,Cita,344
2020-06-12 23,Respuesta,159
2020-06-12 23,Retweet,2822
2020-06-13 00,Retweet,1713
2020-06-13 00,Respuesta,102
2020-06-13 00,Original,241
2020-06-13 00,Cita,187
2020-06-13 01,Original,293
2020-06-13 01,Cita,107
2020-06-13 01,Respuesta,69
2020-06-13 01,Retweet,1159
2020-06-13 02,Respuesta,57
2020-06-13 02,Original,123
2020-06-13 02,Cita,55
2020-06-13 02,Retweet,763
2020-06-13 03,Retweet,659
2020-06-13 03,Respuesta,63
2020-06-13 03,Cita,48
2020-06-13 03,Original,126
2020-06-13 04,Original,145
2020-06-13 04,Cita,47
2020-06-13 04,Respuesta,47
2020-06-13 04,Retweet,698
2020-06-13 05,Original,262
2020-06-13 05,Cita,93
2020-06-13 05,Respuesta,92
2020-06-13 05,Retweet,1257
2020-06-13 06,Retweet,2435
2020-06-13 06,Respuesta,181
2020-06-13 06,Original,550
2020-06-13 06,Cita,187
2020-06-13 07,Original,921
2020-06-13 07,Cita,279
2020-06-13 07,Respuesta,294
2020-06-13 07,Retweet,3726
2020-06-13 08,Retweet,4820
2020-06-13 08,Respuesta,322
2020-06-13 08,Cita,409
2020-06-13 08,Original,960
2020-06-13 09,Original,1041
2020-06-13 09,Cita,392
2020-06-13 09,Respuesta,410
2020-06-13 09,Retweet,5124
2020-06-13 10,Respuesta,399
2020-06-13 10,Retweet,6554
2020-06-13 10,Original,997
2020-06-13 10,Cita,1462
2020-06-13 11,Original,833
2020-06-13 11,Cita,964
2020-06-13 11,Respuesta,318
2020-06-13 11,Retweet,5674
2020-06-13 12,Respuesta,260
2020-06-13 12,Original,657
2020-06-13 12,Cita,543
2020-06-13 12,Retweet,4269
2020-06-13 13,Retweet,3858
2020-06-13 13,Respuesta,260
2020-06-13 13,Cita,373
2020-06-13 13,Original,487
2020-06-13 14,Original,468
2020-06-13 14,Cita,259
2020-06-13 14,Respuesta,227
2020-06-13 14,Retweet,3034
2020-06-13 15,Respuesta,198
2020-06-13 15,Retweet,2780
2020-06-13 15,Original,522
2020-06-13 15,Cita,212
2020-06-13 16,Original,537
2020-06-13 16,Cita,231
2020-06-13 16,Respuesta,179
2020-06-13 16,Retweet,2722
2020-06-13 17,Retweet,2842
2020-06-13 17,Original,480
2020-06-13 17,Cita,205
2020-06-13 17,Respuesta,188
2020-06-13 18,Retweet,2914
2020-06-13 18,Respuesta,214
2020-06-13 18,Original,533
2020-06-13 18,Cita,222
2020-06-13 19,Original,579
2020-06-13 19,Cita,291
2020-06-13 19,Respuesta,264
2020-06-13 19,Retweet,3472
2020-06-13 20,Retweet,3426
2020-06-13 20,Respuesta,277
2020-06-13 20,Original,558
2020-06-13 20,Cita,219
2020-06-13 21,Original,526
2020-06-13 21,Cita,218
2020-06-13 21,Respuesta,284
2020-06-13 21,Retweet,3560
2020-06-13 22,Respuesta,212
