day_week,hour,Tipo,total
Jueves 11-06-2020,09,Respuesta,381
Jueves 11-06-2020,09,Retweet,5542
Jueves 11-06-2020,10,Original,1493
Jueves 11-06-2020,10,Cita,372
Jueves 11-06-2020,10,Respuesta,391
Jueves 11-06-2020,10,Retweet,5017
Jueves 11-06-2020,11,Original,1314
Jueves 11-06-2020,11,Cita,311
Jueves 11-06-2020,11,Respuesta,319
Jueves 11-06-2020,11,Retweet,4291
Jueves 11-06-2020,12,Original,923
Jueves 11-06-2020,12,Cita,301
Jueves 11-06-2020,12,Respuesta,278
Jueves 11-06-2020,12,Retweet,3792
Jueves 11-06-2020,13,Original,748
Jueves 11-06-2020,13,Cita,272
Jueves 11-06-2020,13,Respuesta,260
Jueves 11-06-2020,13,Retweet,3863
Jueves 11-06-2020,14,Original,724
Jueves 11-06-2020,14,Cita,228
Jueves 11-06-2020,14,Respuesta,253
Jueves 11-06-2020,14,Retweet,3282
Jueves 11-06-2020,15,Original,767
Jueves 11-06-2020,15,Cita,209
Jueves 11-06-2020,15,Respuesta,242
Jueves 11-06-2020,15,Retweet,2873
Jueves 11-06-2020,16,Original,668
Jueves 11-06-2020,16,Cita,208
Jueves 11-06-2020,16,Respuesta,229
Jueves 11-06-2020,16,Retweet,2616
Jueves 11-06-2020,17,Original,648
Jueves 11-06-2020,17,Cita,207
Jueves 11-06-2020,17,Respuesta,221
Jueves 11-06-2020,17,Retweet,2717
Jueves 11-06-2020,18,Original,747
Jueves 11-06-2020,18,Cita,203
Jueves 11-06-2020,18,Respuesta,239
Jueves 11-06-2020,18,Retweet,3016
Jueves 11-06-2020,19,Original,638
Jueves 11-06-2020,19,Cita,216
Jueves 11-06-2020,19,Respuesta,215
Jueves 11-06-2020,19,Retweet,3304
Jueves 11-06-2020,20,Original,672
Jueves 11-06-2020,20,Cita,223
Jueves 11-06-2020,20,Respuesta,241
Jueves 11-06-2020,20,Retweet,3535
Jueves 11-06-2020,21,Original,601
Jueves 11-06-2020,21,Cita,218
Jueves 11-06-2020,21,Respuesta,273
Jueves 11-06-2020,21,Retweet,3625
Jueves 11-06-2020,22,Original,411
Jueves 11-06-2020,22,Cita,151
Jueves 11-06-2020,22,Respuesta,201
Jueves 11-06-2020,22,Retweet,2728
Jueves 11-06-2020,23,Original,251
Jueves 11-06-2020,23,Cita,125
Jueves 11-06-2020,23,Respuesta,120
Jueves 11-06-2020,23,Retweet,1809
Lunes 15-06-2020,00,Original,217
Lunes 15-06-2020,00,Cita,94
Lunes 15-06-2020,00,Respuesta,78
Lunes 15-06-2020,00,Retweet,1187
Lunes 15-06-2020,01,Original,235
Lunes 15-06-2020,01,Cita,62
Lunes 15-06-2020,01,Respuesta,73
Lunes 15-06-2020,01,Retweet,767
Lunes 15-06-2020,02,Original,126
Lunes 15-06-2020,02,Cita,46
Lunes 15-06-2020,02,Respuesta,48
Lunes 15-06-2020,02,Retweet,636
Lunes 15-06-2020,03,Original,137
Lunes 15-06-2020,03,Cita,32
Lunes 15-06-2020,03,Respuesta,31
Lunes 15-06-2020,03,Retweet,572
Lunes 15-06-2020,04,Original,223
Lunes 15-06-2020,04,Cita,39
Lunes 15-06-2020,04,Respuesta,54
Lunes 15-06-2020,04,Retweet,824
Lunes 15-06-2020,05,Original,452
Lunes 15-06-2020,05,Cita,102
Lunes 15-06-2020,05,Respuesta,105
Lunes 15-06-2020,05,Retweet,1878
Lunes 15-06-2020,06,Original,941
Lunes 15-06-2020,06,Cita,196
Lunes 15-06-2020,06,Respuesta,195
Lunes 15-06-2020,06,Retweet,3283
Lunes 15-06-2020,07,Original,1330
Lunes 15-06-2020,07,Cita,332
Lunes 15-06-2020,07,Respuesta,280
Lunes 15-06-2020,07,Retweet,4072
Lunes 15-06-2020,08,Original,1505
Lunes 15-06-2020,08,Cita,521
Lunes 15-06-2020,08,Respuesta,371
Lunes 15-06-2020,08,Retweet,4563
Lunes 15-06-2020,09,Original,1491
Lunes 15-06-2020,09,Cita,636
Lunes 15-06-2020,09,Respuesta,380
Lunes 15-06-2020,09,Retweet,5138
Lunes 15-06-2020,10,Original,1363
Lunes 15-06-2020,10,Cita,508
Lunes 15-06-2020,10,Respuesta,368
Lunes 15-06-2020,10,Retweet,4510
Lunes 15-06-2020,11,Original,1173
Lunes 15-06-2020,11,Cita,420
Lunes 15-06-2020,11,Respuesta,340
Lunes 15-06-2020,11,Retweet,3874
Lunes 15-06-2020,12,Original,792
Lunes 15-06-2020,12,Cita,371
Lunes 15-06-2020,12,Respuesta,290
Lunes 15-06-2020,12,Retweet,3387
Lunes 15-06-2020,13,Original,650
Lunes 15-06-2020,13,Cita,300
Lunes 15-06-2020,13,Respuesta,269
Lunes 15-06-2020,13,Retweet,3187
Lunes 15-06-2020,14,Original,677
Lunes 15-06-2020,14,Cita,247
Lunes 15-06-2020,14,Respuesta,252
Lunes 15-06-2020,14,Retweet,2715
Lunes 15-06-2020,15,Original,610
Lunes 15-06-2020,15,Cita,185
Lunes 15-06-2020,15,Respuesta,179
Lunes 15-06-2020,15,Retweet,2214
Lunes 15-06-2020,16,Original,705
Lunes 15-06-2020,16,Cita,211
Lunes 15-06-2020,16,Respuesta,191
Lunes 15-06-2020,16,Retweet,2301
Lunes 15-06-2020,17,Original,638
Lunes 15-06-2020,17,Cita,190
Lunes 15-06-2020,17,Respuesta,211
Lunes 15-06-2020,17,Retweet,2487
Lunes 15-06-2020,18,Original,604
Lunes 15-06-2020,18,Cita,224
Lunes 15-06-2020,18,Respuesta,217
Lunes 15-06-2020,18,Retweet,2684
Lunes 15-06-2020,19,Original,519
Lunes 15-06-2020,19,Cita,207
Lunes 15-06-2020,19,Respuesta,189
Lunes 15-06-2020,19,Retweet,2878
Lunes 15-06-2020,20,Original,601
Lunes 15-06-2020,20,Cita,252
Lunes 15-06-2020,20,Respuesta,238
Lunes 15-06-2020,20,Retweet,3178
Lunes 15-06-2020,21,Original,459
Lunes 15-06-2020,21,Cita,306
Lunes 15-06-2020,21,Respuesta,251
Lunes 15-06-2020,21,Retweet,3261
Lunes 15-06-2020,22,Original,191
Lunes 15-06-2020,22,Cita,126
Lunes 15-06-2020,22,Respuesta,122
Lunes 15-06-2020,22,Retweet,1629
Lunes 15-06-2020,23,Original,243
Lunes 15-06-2020,23,Cita,117
Lunes 15-06-2020,23,Respuesta,94
Lunes 15-06-2020,23,Retweet,1396
Martes 16-06-2020,00,Original,77
Martes 16-06-2020,00,Cita,35
Martes 16-06-2020,00,Respuesta,24
Martes 16-06-2020,00,Retweet,386
Martes 16-06-2020,01,Original,64
Martes 16-06-2020,01,Cita,29
Martes 16-06-2020,01,Respuesta,45
Martes 16-06-2020,01,Retweet,339
Martes 16-06-2020,02,Original,59
Martes 16-06-2020,02,Cita,22
Martes 16-06-2020,02,Respuesta,25
Martes 16-06-2020,02,Retweet,309
Martes 16-06-2020,03,Original,85
Martes 16-06-2020,03,Cita,29
Martes 16-06-2020,03,Respuesta,35
Martes 16-06-2020,03,Retweet,375
Martes 16-06-2020,04,Original,210
Martes 16-06-2020,04,Cita,49
Martes 16-06-2020,04,Respuesta,57
Martes 16-06-2020,04,Retweet,925
Martes 16-06-2020,05,Original,462
Martes 16-06-2020,05,Cita,138
Martes 16-06-2020,05,Respuesta,117
Martes 16-06-2020,05,Retweet,2056
Martes 16-06-2020,06,Original,925
Martes 16-06-2020,06,Cita,273
Martes 16-06-2020,06,Respuesta,187
Martes 16-06-2020,06,Retweet,3333
Martes 16-06-2020,07,Original,1421
Martes 16-06-2020,07,Cita,388
Martes 16-06-2020,07,Respuesta,276
Martes 16-06-2020,07,Retweet,4032
Martes 16-06-2020,08,Original,1473
Martes 16-06-2020,08,Cita,439
Martes 16-06-2020,08,Respuesta,375
Martes 16-06-2020,08,Retweet,4245
Martes 16-06-2020,09,Original,1534
Martes 16-06-2020,09,Cita,458
Martes 16-06-2020,09,Respuesta,355
Martes 16-06-2020,09,Retweet,4371
Martes 16-06-2020,10,Original,1346
Martes 16-06-2020,10,Cita,404
Martes 16-06-2020,10,Respuesta,339
Martes 16-06-2020,10,Retweet,4029
Martes 16-06-2020,11,Original,1218
Martes 16-06-2020,11,Cita,343
Martes 16-06-2020,11,Respuesta,339
Martes 16-06-2020,11,Retweet,3607
Martes 16-06-2020,12,Original,779
Martes 16-06-2020,12,Cita,310
Martes 16-06-2020,12,Respuesta,297
Martes 16-06-2020,12,Retweet,2903
Martes 16-06-2020,13,Original,655
Martes 16-06-2020,13,Cita,263
Martes 16-06-2020,13,Respuesta,212
Martes 16-06-2020,13,Retweet,2836
Martes 16-06-2020,14,Original,668
Martes 16-06-2020,14,Cita,231
Martes 16-06-2020,14,Respuesta,225
Martes 16-06-2020,14,Retweet,2719
Martes 16-06-2020,15,Original,623
Martes 16-06-2020,15,Cita,187
Martes 16-06-2020,15,Respuesta,169
Martes 16-06-2020,15,Retweet,2203
Martes 16-06-2020,16,Original,636
Martes 16-06-2020,16,Cita,197
Martes 16-06-2020,16,Respuesta,181
Martes 16-06-2020,16,Retweet,2340
Martes 16-06-2020,17,Original,599
Martes 16-06-2020,17,Cita,206
Martes 16-06-2020,17,Respuesta,184
Martes 16-06-2020,17,Retweet,2321
Martes 16-06-2020,18,Original,669
Martes 16-06-2020,18,Cita,232
Martes 16-06-2020,18,Respuesta,186
Martes 16-06-2020,18,Retweet,2885
Martes 16-06-2020,19,Original,585
Martes 16-06-2020,19,Cita,196
Martes 16-06-2020,19,Respuesta,246
Martes 16-06-2020,19,Retweet,2844
Martes 16-06-2020,20,Original,489
Martes 16-06-2020,20,Cita,197
Martes 16-06-2020,20,Respuesta,232
Martes 16-06-2020,20,Retweet,3074
Martes 16-06-2020,21,Original,429
Martes 16-06-2020,21,Cita,196
Martes 16-06-2020,21,Respuesta,219
Martes 16-06-2020,21,Retweet,3172
Martes 16-06-2020,22,Original,303
Martes 16-06-2020,22,Cita,197
Martes 16-06-2020,22,Respuesta,180
Martes 16-06-2020,22,Retweet,2543
Martes 16-06-2020,23,Original,271
Martes 16-06-2020,23,Cita,148
Martes 16-06-2020,23,Respuesta,143
Martes 16-06-2020,23,Retweet,1664
Miércoles 17-06-2020,00,Original,249
Miércoles 17-06-2020,00,Cita,84
Miércoles 17-06-2020,00,Respuesta,83
Miércoles 17-06-2020,00,Retweet,1041
Miércoles 17-06-2020,01,Original,179
Miércoles 17-06-2020,01,Cita,53
Miércoles 17-06-2020,01,Respuesta,50
Miércoles 17-06-2020,01,Retweet,710
Miércoles 17-06-2020,02,Original,159
Miércoles 17-06-2020,02,Cita,43
Miércoles 17-06-2020,02,Respuesta,62
Miércoles 17-06-2020,02,Retweet,570
Miércoles 17-06-2020,03,Original,153
Miércoles 17-06-2020,03,Cita,42
Miércoles 17-06-2020,03,Respuesta,45
Miércoles 17-06-2020,03,Retweet,635
Miércoles 17-06-2020,04,Original,245
Miércoles 17-06-2020,04,Cita,62
Miércoles 17-06-2020,04,Respuesta,77
Miércoles 17-06-2020,04,Retweet,1000
Miércoles 17-06-2020,05,Original,513
Miércoles 17-06-2020,05,Cita,131
Miércoles 17-06-2020,05,Respuesta,125
Miércoles 17-06-2020,05,Retweet,2174
Miércoles 17-06-2020,06,Original,1060
Miércoles 17-06-2020,06,Cita,229
Miércoles 17-06-2020,06,Respuesta,238
Miércoles 17-06-2020,06,Retweet,3635
Miércoles 17-06-2020,07,Original,1679
Miércoles 17-06-2020,07,Cita,338
Miércoles 17-06-2020,07,Respuesta,312
Miércoles 17-06-2020,07,Retweet,4618
Miércoles 17-06-2020,08,Original,1654
Miércoles 17-06-2020,08,Cita,454
Miércoles 17-06-2020,08,Respuesta,387
Miércoles 17-06-2020,08,Retweet,5208
Miércoles 17-06-2020,09,Original,1600
Miércoles 17-06-2020,09,Cita,409
Miércoles 17-06-2020,09,Respuesta,383
Miércoles 17-06-2020,09,Retweet,5109
Miércoles 17-06-2020,10,Original,1604
Miércoles 17-06-2020,10,Cita,367
Miércoles 17-06-2020,10,Respuesta,384
Miércoles 17-06-2020,10,Retweet,5357
Miércoles 17-06-2020,11,Original,1133
Miércoles 17-06-2020,11,Cita,317
Miércoles 17-06-2020,11,Respuesta,312
Miércoles 17-06-2020,11,Retweet,4189
Miércoles 17-06-2020,12,Original,868
Miércoles 17-06-2020,12,Cita,242
Miércoles 17-06-2020,12,Respuesta,335
Miércoles 17-06-2020,12,Retweet,3319
Miércoles 17-06-2020,13,Original,719
Miércoles 17-06-2020,13,Cita,231
Miércoles 17-06-2020,13,Respuesta,234
Miércoles 17-06-2020,13,Retweet,3205
Miércoles 17-06-2020,14,Original,794
Miércoles 17-06-2020,14,Cita,220
Miércoles 17-06-2020,14,Respuesta,194
Miércoles 17-06-2020,14,Retweet,3029
Miércoles 17-06-2020,15,Original,682
Miércoles 17-06-2020,15,Cita,206
Miércoles 17-06-2020,15,Respuesta,191
Miércoles 17-06-2020,15,Retweet,2562
Miércoles 17-06-2020,16,Original,766
Miércoles 17-06-2020,16,Cita,213
Miércoles 17-06-2020,16,Respuesta,218
Miércoles 17-06-2020,16,Retweet,2752
Miércoles 17-06-2020,17,Original,687
Miércoles 17-06-2020,17,Cita,236
Miércoles 17-06-2020,17,Respuesta,213
