00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1871.0,1347.0,1182.0,1349.0,1548.0,3463.0,5692.0,7760.0,8094.0,7816.0,7273.0,6235.0,5294.0,5143.0,4487.0,4091.0,3721.0,3793.0,4205.0,4373.0,4671.0,4717.0,3491.0,2305.0
1601.0,1169.0,998.0,829.0,1280.0,2773.0,4759.0,6051.0,6310.0,6309.0,5595.0,5094.0,4271.0,4034.0,3780.0,3643.0,3455.0,3351.0,3494.0,3301.0,3933.0,5781.0,4667.0,3667.0
2243.0,1628.0,998.0,896.0,937.0,1704.0,3353.0,5220.0,6511.0,6967.0,9412.0,7789.0,5729.0,4978.0,3988.0,3712.0,3669.0,3715.0,3883.0,4606.0,4480.0,4588.0,3941.0,3047.0
2045.0,1413.0,991.0,797.0,1041.0,1622.0,3028.0,5208.0,7418.0,8636.0,7976.0,7083.0,5993.0,5195.0,4483.0,4370.0,4158.0,4048.0,4376.0,4162.0,4353.0,4341.0,3664.0,2294.0
1576.0,1137.0,856.0,772.0,1140.0,2537.0,4615.0,6014.0,6960.0,7645.0,6749.0,5807.0,4840.0,4406.0,3891.0,3188.0,3408.0,3526.0,3729.0,3793.0,4269.0,4277.0,2068.0,1850.0
522.0,477.0,415.0,524.0,1241.0,2773.0,4718.0,6117.0,6532.0,6718.0,6118.0,5507.0,4289.0,3966.0,3843.0,3182.0,3354.0,3310.0,3972.0,3871.0,3992.0,4016.0,3223.0,2226.0
1457.0,992.0,834.0,875.0,1384.0,2943.0,5162.0,6947.0,7703.0,7501.0,7712.0,5951.0,4764.0,4389.0,4237.0,3641.0,3949.0,3931.0,4272.0,4445.0,4945.0,4720.0,,
