Cita,Original,Respuesta,Retweet
5250,17959,5476,75236
6196,16055,5023,62871
7338,12525,5099,73032
4934,13146,5240,75375
5724,15882,4826,62621
5167,15580,4648,59511
4915,17282,4821,65736
