Citas,Originales,Respuestas,Retweets,Total,Prop. Citas,Prop. Originales,Prop. Respuestas,Prop. Retweets
4467,18821,4225,59938,87451,0.051080033390127046,0.21521766474940252,0.04831276943659878,0.6853895324238717
27597,81308,28247,369813,506965,0.05443571055201049,0.16038188040594517,0.05571785034469835,0.7294645586973459
661,590,80,1118,2449,0.2699060841159657,0.24091465904450796,0.032666394446712946,0.4565128623928134
92,143,82,990,1307,0.0703902065799541,0.10941086457536343,0.06273909716908951,0.7574598316755929
96,388,78,1550,2112,0.045454545454545456,0.18371212121212122,0.036931818181818184,0.7339015151515151
1830,4779,1459,32671,40739,0.0449201011315938,0.11730773951250645,0.03581334838852206,0.8019588109673776
132,121,50,486,789,0.16730038022813687,0.15335868187579213,0.06337135614702155,0.6159695817490495
3952,906,343,3474,8675,0.45556195965417867,0.10443804034582133,0.039538904899135446,0.40046109510086453
697,1373,569,4342,6981,0.099842429451368,0.19667669388339779,0.08150694742873514,0.6219739292364991
