00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1535.0,1062.0,987.0,1152.0,1282.0,2686.0,4457.0,5930.0,6304.0,6212.0,5798.0,5192.0,4504.0,4397.0,3810.0,3492.0,3115.0,3220.0,3452.0,3678.0,3880.0,4008.0,2962.0,1981.0
1292.0,950.0,808.0,676.0,1040.0,2186.0,3805.0,4804.0,5137.0,5102.0,4614.0,4214.0,3643.0,3425.0,3205.0,3069.0,2956.0,2819.0,2906.0,2839.0,3250.0,4989.0,4072.0,3070.0
1908.0,1246.0,825.0,722.0,736.0,1363.0,2641.0,4154.0,5348.0,5766.0,7727.0,6643.0,4968.0,4299.0,3445.0,3206.0,3178.0,3234.0,3313.0,3834.0,3798.0,3838.0,3289.0,2517.0
1719.0,1164.0,816.0,682.0,806.0,1236.0,2292.0,3929.0,5662.0,6757.0,6317.0,5650.0,4939.0,4284.0,3699.0,3647.0,3405.0,3373.0,3666.0,3439.0,3602.0,3627.0,3031.0,1912.0
1255.0,891.0,697.0,616.0,927.0,1976.0,3667.0,4757.0,5597.0,6063.0,5398.0,4832.0,4053.0,3782.0,3294.0,2658.0,2904.0,2965.0,3134.0,3219.0,3700.0,3601.0,1786.0,1545.0
465.0,380.0,357.0,461.0,1016.0,2163.0,3740.0,4889.0,5197.0,5340.0,4924.0,4462.0,3623.0,3435.0,3297.0,2733.0,2878.0,2788.0,3372.0,3304.0,3360.0,3421.0,2719.0,1805.0
1220.0,783.0,680.0,703.0,1056.0,2254.0,4013.0,5345.0,6026.0,5797.0,5882.0,4833.0,4013.0,3708.0,3531.0,3003.0,3267.0,3272.0,3527.0,3625.0,4044.0,3856.0,,
