created_at,id,complete_text
2020-06-13 07:22:38+00:00,1271704515692179457,"El COVID ha supuesto un cambio de ERA TECNOLOGICA. En el  FORO SALUD &amp; FARMA  de @AsocEyC  tenemos nuevos RETOS  para esta nueva etapa.Contamos con vosotros! @patriciaafdez @Cucaxx @montse_barcelo @lorenatoda @JAM_tells @nitidapastor @lourdecitaslop 
https://t.co/QgT2vrzDMc"
2020-06-13 07:22:52+00:00,1271704575649644544,"@Yiyovida La enfermedad se llama Covid-19. El virus se llama Sars Cov 2.

¡Ignorante!"
2020-06-13 07:24:14+00:00,1271704919117045760,"@donostigh No lo dudes!!! Están encantados con la pandemia, cuanto peor nos vaya más contentos están 🤮😡"
2020-06-13 07:24:26+00:00,1271704969033457666,‘Quizá me he quedado rezagado en una bolsa de mascarillas igual que las patrullas que resistían en la jungla sin saber que la guerra había acabado.’
2020-06-13 07:25:11+00:00,1271705156204343296,2020 no dejes de sorprenderme
2020-06-13 07:25:14+00:00,1271705170250956801,"@diegusao @Fracisco_Negro Q este tío no habrá tenido toda la culpa del desastre en la gestión del virus, es fácil q gran parte de esta corresponda a los políticos. Aún así, me sigue pareciendo increible que con 40.000 muertos y mentiras varias sea algo así como una estrella del rock para determinada gente"
2020-06-13 07:26:15+00:00,1271705425667338240,"Ya en nuestra revista digital Le Monde Culturel... Cómo será el turismo tras la pandemia

https://t.co/0HCOgyHzVG

#turismo #españa #pandemia #covid19 #fitur #turismoespaña #analisis #sector #sectorturismo #viajes"
2020-06-13 07:27:41+00:00,1271705785563787264,"@DanzaSancho Ahora con el tema racismo ya los fallecidos por la pandemia han pasado a segundo lugar, a tercero, a cuarto..."
2020-06-13 07:28:15+00:00,1271705927859740675,"Vuelve el cine a Madrid. Este finde reabren sus puertas el Renoir Plaza de España, el Artistic Metropol y la Sala Equis.

1/3 del aforo

butacas preasignadas

evitar paso de personas entre filas

entradas digitales

autoservicio prohibido

uso de mascarilla (solo en algunos) https://t.co/ybPiRBCkz0"
2020-06-13 07:30:21+00:00,1271706458942472193,"@isanchezsantam1 @CDBILBAOBASKET Pues pedir que se haga algo, aunque sea simbólico yo lo veo normal después de lo que ha pasado. Seguramente habrá algún familiar y/ó aficionado del BB que haya muerto en esta pandemia. Yo creo que algo se debería hacer."
2020-06-13 07:32:28+00:00,1271706990021160961,América supera a Europa en numero de muertes por COVID-19 https://t.co/okJTDSip7g
2020-06-13 07:32:46+00:00,1271707068429406209,Para que luego digan que el PP no lucha contra la pandemia.
2020-06-13 07:35:40+00:00,1271707798003482626,"Hombre si a los jubilados les dejan con menos del sueldo mínimo vital..... Como con la pandemia nos volverán a, dar una lección porque Sánchez no le dejan entrar en Moncloa nunca más. Miedo debería darle los jubilados manifestándose...."
2020-06-13 07:36:26+00:00,1271707990345867267,China cierra el mayor mercado mayorista de Pekín por un nuevo brote de coronavirus: 46 positivos en sus instalaciones https://t.co/rs8IVTXq7T
2020-06-13 07:37:44+00:00,1271708317392474118,"Ayer, en la zona Triana, altura Mc Donald. De toda la juventud que rondaba por allí, UNO de cada VEINTE, llevaba mascarilla.

Todavia hay gente que piensa que todo esto es una tonteria con frases como, ""yo paso de la mascarilla"" o ""la llevo en el bolsillo por si me multan""

🤬"
2020-06-13 07:39:22+00:00,1271708726043594752,"Día 91 de confinamiento, seguimos adelante #COVID19 #FelizFinde https://t.co/bTQQKUVK5d"
2020-06-13 07:40:21+00:00,1271708975776628736,"Regresamos el 19 de junio con a exposición de Carmen García durante el confinamiento ¡Disfrutadla! 👏
#naturaleza #actividades #montaña #bungalow #ConNiños #turismorural  #momentos #familia #vacaciones #travel #turismo #Ávila #LaAdrada #ValleDelTiétar #Gredos @paraisodeltietar https://t.co/yqpjlCnThi"
2020-06-13 07:41:13+00:00,1271709192617955330,"Público artificial en los juegos de fútbol, sin gente en tiempos de pandemia: https://t.co/MGdtcOvvLT #web"
2020-06-13 07:41:41+00:00,1271709309345431553,"Ante la falta de modificación/aprobación de bases, no se podrían celebrar PO en otro campò. Es contrario a la normativa.

Realizar los cambios conforme a la legalidad no cuesta tanto. ¿Por qué no se hace?

No hay excusa (ni de Covid), han pasado 3 meses para poder trabajarlo."
2020-06-13 07:42:09+00:00,1271709426634887170,ANÁLISIS | ¿Lo peor ha quedado atrás? Posibles escenarios de futuro ante el coronavirus https://t.co/0legNPBtwa Honen bidez: @eldiarioInt
2020-06-13 07:42:12+00:00,1271709439679135745,"La Calle de los Bares (cerrados).
👆👆👆👆👆👆👆
⬇️Más Información⬇️





https://t.co/4hpO9qck6O / https://t.co/4o0PEOpcJl



*****************************




Fuente de la noticia➡️ https://t.co/hIl5aToGjS

#yomequedoencasa… https://t.co/GsNQZD22kk"
2020-06-13 07:42:13+00:00,1271709446088073216,Significado de #pestebubonica #john PESTE BUBONICA Pandemia que asolo  a Europa y parte de Asia en el siglo XIV. Es originaria de Mongolia y transmitida por la picadura de pulgas que viven en roedores. Mato a mas de 100 milone..https://t.co/zr2W5fSRdK
2020-06-13 07:43:06+00:00,1271709666817572864,Muchas gracias! Iba a ir a Ecuador en octubre para estar con vosotros y hablar en unas jornadas de cirugía de cadera. Parece que el COVID impedirá la organización de ellas. ¡Ojalá todo pase y nos veamos pronto! #cirugiadecadera
2020-06-13 07:45:17+00:00,1271710217177305088,"Es que es guapo el cabrón, lo consigue todo"
2020-06-13 07:46:47+00:00,1271710593217691649,"Os lo corrijo:
""El Gobierno de España planea abrir nuestras fronteras cuando más casos de contagios hay en el mundo""
El mando único en estado de alarma, que asumió la obligación de coordinar y controlar desplazamientos, sanidad, seguridad...y sí también las residencias de mayores"
2020-06-13 07:48:12+00:00,1271710948584292352,"Os imagináis que la cuarentena nos hubiera pillado durante el estreno de Endgame?!?!?!
No existe ni existirá COVID que me hubiera parado con tal de presenciar  ese momento."
2020-06-13 07:48:20+00:00,1271710984953085952,Urbanismo Táctico: reimaginando nuestras ciudades después de COVID-19 https://t.co/peOuFi6zSV https://t.co/Sp3bWpvsjB
2020-06-13 07:49:36+00:00,1271711304189915137,"Adecuado al nivel, de mierda, de su máster."
2020-06-13 07:50:25+00:00,1271711506825175041,"Los muertos invisibles, censura en la pandemia - El Independiente https://t.co/Bzn8UjLLV5 vía @elindepcom"
2020-06-13 07:50:53+00:00,1271711624404119552,"89. ""La crítica durante el el confinamiento (39): Pablo Sánchez Blasco"". En este episodio el crítico reflexiona sobre cuánta responsabilidad real tiene el virus en la crisis del sector, y la demanda de ficciones cerradas en una etapa de incertidumbre:

https://t.co/NPcto95fQj"
2020-06-13 07:53:40+00:00,1271712324857081865,"Os habéis olvidado de que, entre medias, ha sido experta en coronavirus."
2020-06-13 07:55:17+00:00,1271712732098760704,Perdidos en el país de los epidemiólogos. El acertijo de los test rápidos de diagnóstico serológico de la COVID-19 https://t.co/pcN3Eo51I1
2020-06-13 07:56:00+00:00,1271712912227225601,China cierra el mayor mercado mayorista de Pekín por un nuevo brote de coronavirus: 46 positivos en sus instalaciones https://t.co/DV2ASDI1JV
2020-06-13 07:56:04+00:00,1271712931915411460,"@Rackks Jajajajaja más o menos, pero con mascarilla 😂 como un miura en toriles voy a salir, niña."
2020-06-13 07:56:08+00:00,1271712947857997824,"No pasa náaaa 💃
Van con mascarilla no ?
Pues ya está!! Todo en regla.

#salimosmasfuertes 
#Transparencia 

😡😡😡😡😡😡😡😡😡"
2020-06-13 07:57:00+00:00,1271713163600433152,"El INSST publica las directrices preventivas para el tratamiento de residuos #COVID https://t.co/SfzDzFf9pN

#saludlaboral #seguridad #normativa #residuos #medioambiente"
2020-06-13 07:58:11+00:00,1271713461479919616,"Miley Cyrus hablando a Sánchez???? 2020, vivimos en una simulación"
2020-06-13 07:58:51+00:00,1271713629650518017,"Feliz Día de San Antonio! ✨
Hoy nos hemos quedado sin fiestas por el Covid-19 pero, sigue siendo un día especial en el pueblo. 
Ha amanecido con despertà y un sol espléndido. 
#13DeJunio #SanAntonio #SanAntoniodePadua https://t.co/0xMZfiNzji"
2020-06-13 07:58:55+00:00,1271713647082049541,"¡A tomar por 🍑!
🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️"
2020-06-13 07:59:58+00:00,1271713912526962688,"@MELILLA_HOY Falta la opción ""No, y el coronavirus no tiene nada que ver"" La OPE no aporta a Melilla y a Ceuta. Las navieras pueden hacer directamente el viaje a puertos marroquíes"
2020-06-13 08:00:15+00:00,1271713982668292097,"El profético libro que primero alertó contra la crisis del coronavirus. Nº.1 en EE. UU.

Empieza a leer 'La amenaza más letal' 👉 https://t.co/UpxBjM40OA https://t.co/8YcNd8HQfN"
2020-06-13 08:01:26+00:00,1271714281801859073,"Atentos a los más vulnerables, a quienes más lo han necesitado, como las personas con #discapacidad. Disponibles 24/7 para acompañarles a través de la delegación especializada #covid19
#10de10 #quedan8 #CoriaCáceres @COPE @ecclesiadigital  @CoriaCCDiocesis #somosIglesia24Siete https://t.co/WznpDtnaGn"
2020-06-13 08:03:22+00:00,1271714766558507009,"Que no caiga en el olvido cuando Fernández Díaz dijo que ""el aborto tiene algo que ver con ETA"". Su chaladura mental es bastante anterior al confinamiento. https://t.co/eWsUpsbSH6"
